,subject,rt,rt,rt,rt,rt,rt,rt,rt,best_chosen,gaze_influence,dataset
,,mean,std,min,max,se,q1,q3,iqr,mean,,
36,36,1612.7,688.4751193761472,630.0,5596.0,69.19435298381282,1181.75,1854.0,672.25,0.74,0.4919121722302495,krajbich2010
37,37,2859.0,1870.891712526409,1008.0,9229.0,188.03169193441082,1576.0,3682.75,2106.75,0.84,0.178294151374009,krajbich2010
38,38,2266.21,1220.8507959206156,848.0,6293.0,122.70012166895256,1414.25,2681.25,1267.0,0.8,0.06224027464307623,krajbich2010
39,39,1235.85,301.09222424366925,706.0,2107.0,30.260907124539415,992.0,1437.25,445.25,0.73,0.19424824377550895,krajbich2011
40,40,2190.09,1146.533149062861,822.0,7260.0,115.23091712564023,1465.5,2663.75,1198.25,0.75,0.17360189536187148,krajbich2011
41,41,1848.837837837838,753.7186374995938,838.0,4506.0,88.21609399605693,1345.75,2083.0,737.25,0.7837837837837838,0.08611607617268713,krajbich2011
42,42,1540.84,803.4044650112422,629.0,5797.0,80.7451868284395,1007.75,1793.5,785.75,0.76,0.28426091859915675,krajbich2011
43,43,2210.56,762.9737914240568,874.0,4403.0,76.68175124328718,1664.5,2586.0,921.5,0.79,0.07910069038900723,krajbich2011
44,44,2803.18,1207.9487520586292,1100.0,8489.0,121.40341747140963,2127.25,3336.75,1209.5,0.65,0.4723340960196579,krajbich2011
45,45,5873.72,2809.8496759791265,1438.0,16545.0,282.4005179552866,3708.25,7222.0,3513.75,0.66,0.1550517041568109,krajbich2011
46,46,2402.09,1249.4764030985136,887.0,6819.0,125.5771034388069,1383.25,2984.75,1601.5,0.5,0.5405971723236043,krajbich2011
47,47,1006.34,202.6208883605045,625.0,1546.0,20.364165496372213,840.75,1157.0,316.25,0.73,0.26668336230649137,krajbich2011
48,48,2296.1,1723.2214918576196,811.0,12400.0,173.1902763384302,1455.75,2590.75,1135.0,0.59,0.4211697147681401,krajbich2011
49,49,1707.61,637.154532197645,674.0,3970.0,64.03643990224265,1260.0,2089.25,829.25,0.84,0.14375796490309545,krajbich2011
50,50,1263.02,305.2952990139219,756.0,2220.0,30.683332032985998,1039.75,1433.75,394.0,0.7,0.36066177007281774,krajbich2011
51,51,2055.03,784.4406855205816,787.0,4608.0,78.8392552776044,1455.75,2542.75,1087.0,0.8,0.11732009452911836,krajbich2011
52,52,2199.49,949.9152856439359,1057.0,5825.0,95.47007833649118,1587.25,2501.5,914.25,0.8,0.12738469395489463,krajbich2011
53,53,1449.28,337.50354309251327,894.0,2586.0,33.920382359194285,1253.25,1604.25,351.0,0.83,0.12706304817021646,krajbich2011
54,54,6216.65,3706.876939891584,1886.0,20585.0,372.55515011033907,3568.75,7691.25,4122.5,0.72,0.22114658638313958,krajbich2011
55,55,2447.39,2217.500461758689,644.0,14168.0,222.8671819422247,1384.25,2667.0,1282.75,0.74,0.17729919494129567,krajbich2011
56,56,2755.23,971.0018625625804,1361.0,6834.0,97.58935905625216,2128.0,3265.0,1137.0,0.95,0.058646970221635966,krajbich2011
57,57,1197.29,413.6086385703277,583.0,2952.0,41.569232248105926,930.75,1391.25,460.5,0.74,0.17774315469986987,krajbich2011
58,58,1946.695652173913,879.7270913178062,768.0,5210.0,92.22045702819347,1266.5,2345.25,1078.75,0.6086956521739131,0.22144728288702614,krajbich2011
59,59,3825.4,2730.5173319354703,1133.0,13545.0,274.42731738158375,1857.0,4649.0,2792.0,0.82,0.10951330693892465,krajbich2011
60,60,1866.29,681.8032604058153,767.0,3862.0,68.52380592748683,1397.25,2196.0,798.75,0.64,0.4015625913549853,krajbich2011
61,61,2703.15,1069.9645449733366,1000.0,6605.0,107.53548286848192,1912.0,3091.25,1179.25,0.59,0.3216695050106889,krajbich2011
62,62,3024.2,1670.9320153734557,850.0,12473.0,167.934986217761,1810.25,3635.5,1825.25,0.73,0.12244124224973496,krajbich2011
