subject,trial,choice,rt,item_value_0,item_value_1,item_value_2,gaze_0,gaze_1,gaze_2,fixation_count,ndt,best_chosen,longest_chosen,value_left_minus_mean_others
0,26,0,1146,6,2,3,0.5626535626535627,0.19533169533169534,0.24201474201474202,4,332.0,True,True,3.5
0,27,2,1573,6,1,7,0.2187784867821331,0.45487693710118504,0.3263445761166819,7,476.0,True,False,2.0
0,28,1,1425,3,2,1,0.29458128078817736,0.3527093596059113,0.3527093596059113,5,410.0,False,True,1.5
0,29,1,1467,3,7,1,0.21237993596584845,0.2550693703308431,0.5325506937033084,4,530.0,True,False,-1.0
0,30,0,1314,6,1,3,0.4258271077908218,0.4044823906083244,0.16969050160085378,5,377.0,True,True,4.0
0,31,1,961,2,7,1,0.18223234624145787,0.40774487471526194,0.41002277904328016,3,522.0,True,False,-2.0
0,32,1,1350,3,2,1,0.3897058823529412,0.3909313725490196,0.2193627450980392,4,534.0,False,True,1.5
0,33,0,1547,3,2,1,0.4125753660637382,0.45047372954349696,0.13695090439276486,5,386.0,True,False,1.5
0,34,1,938,3,6,1,0.1941747572815534,0.4190938511326861,0.38673139158576053,4,320.0,True,True,-0.5
0,35,1,1498,1,3,2,0.1726133076181292,0.5573770491803278,0.2700096432015429,4,461.0,True,True,-1.5
0,36,0,1834,3,2,1,0.36537102473498234,0.5356890459363958,0.0989399293286219,7,419.0,True,False,1.5
0,37,1,1521,2,3,1,0.277504105090312,0.5262725779967159,0.1962233169129721,4,303.0,True,True,0.0
0,38,1,1409,3,2,1,0.24524076147816348,0.42105263157894735,0.3337066069428891,4,516.0,False,True,1.5
0,39,0,2056,2,1,3,0.4723969252271139,0.2082459818308875,0.3193570929419986,7,625.0,False,True,0.0
0,40,2,1639,3,2,1,0.33358662613981765,0.22720364741641338,0.439209726443769,6,323.0,False,True,1.5
0,41,2,1336,1,2,7,0.11551925320886815,0.30221703617269546,0.5822637106184364,4,479.0,True,True,-3.5
0,42,1,1045,1,7,3,0.40680272108843535,0.21496598639455783,0.3782312925170068,4,310.0,True,False,-4.0
0,43,0,1460,2,1,3,0.42126379137412234,0.21865596790371114,0.3600802407221665,4,463.0,False,True,0.0
0,44,1,892,1,6,3,0.3454231433506045,0.0,0.6545768566493955,3,313.0,True,False,-3.5
0,45,2,887,2,1,7,0.20623916811091855,0.2755632582322357,0.5181975736568457,3,310.0,True,True,-2.0
0,46,2,1438,1,3,6,0.2816593886462882,0.5447598253275109,0.17358078602620086,4,522.0,True,False,-3.5
0,47,2,908,1,3,2,0.2389558232931727,0.28112449799196787,0.4799196787148594,3,410.0,False,True,-1.5
0,48,2,1207,3,1,2,0.4340239912758997,0.3707742639040349,0.19520174482006544,4,290.0,False,False,1.5
